,qb_id,player_id,player_display_name,team,start_number,rookie_year,entry_year,draft_number
0,Jayden Daniels-97993,97993,Jayden Daniels,WAS,9,2024,2024,2
1,Jameis Winston-9434,9434,Jameis Winston,CLE,82,2015,2015,1
3,Kyler Murray-38334,38334,Kyler Murray,ARI,74,2019,2019,1
4,Kirk Cousins-7102,7102,Kirk Cousins,ATL,158,2012,2012,102
5,Dak Prescott-10769,10769,Dak Prescott,DAL,128,2016,2016,135
6,Bo Nix-97790,97790,Bo Nix,DEN,9,2024,2024,12
7,Lamar Jackson-46416,46416,Lamar Jackson,BAL,92,2018,2018,32
8,Jared Goff-10635,10635,Jared Goff,DET,133,2016,2016,1
9,Sam Darnold-29048,29048,Sam Darnold,MIN,65,2018,2018,3
10,Joe Flacco-4332,4332,Joe Flacco,IND,203,2008,2008,18
11,Trevor Lawrence-77632,77632,Trevor Lawrence,JAX,61,2021,2021,1
12,Jalen Hurts-40291,40291,Jalen Hurts,PHI,64,2020,2020,53
13,Jordan Love-40306,40306,Jordan Love,GB,27,2020,2020,26
14,Justin Herbert-28237,28237,Justin Herbert,LAC,71,2020,2020,6
15,Mason Rudolph-46569,46569,Mason Rudolph,TEN,17,2018,2018,76
16,Matthew Stafford-4924,4924,Matthew Stafford,LAR,222,2009,2009,1
17,Daniel Jones-39395,39395,Daniel Jones,NYG,70,2019,2019,6
18,Gardner Minshew-0,0,Gardner Minshew,OAK,44,2019,2019,178
19,Joe Burrow-28022,28022,Joe Burrow,CIN,68,2020,2020,1
20,Derek Carr-8671,8671,Derek Carr,NO,166,2014,2014,36
21,Bryce Young-123943,123943,Bryce Young,CAR,20,2023,2023,1
22,Drake Maye-143969,143969,Drake Maye,NE,4,2024,2024,3
23,Tua Tagovailoa-60326,60326,Tua Tagovailoa,MIA,56,2020,2020,5
24,Josh Allen-46601,46601,Josh Allen,BUF,111,2018,2018,7
25,Geno Smith-7820,7820,Geno Smith,SEA,76,2013,2013,39
26,Aaron Rodgers-2241,2241,Aaron Rodgers,NYJ,253,2005,2005,24
27,C.J. Stroud-129759,129759,C.J. Stroud,HOU,26,2023,2023,2
28,Russell Wilson-7077,7077,Russell Wilson,PIT,206,2012,2012,75
30,Brock Purdy-77672,77672,Brock Purdy,SF,35,2022,2022,262
41,Baker Mayfield-46518,46518,Baker Mayfield,TB,99,2018,2018,1
47,Anthony Richardson-124393,124393,Anthony Richardson,IND,10,2023,2023,4
54,Spencer Rattler-97408,97408,Spencer Rattler,NO,3,2024,2024,150
57,Patrick Mahomes-11765,11765,Patrick Mahomes,KC,121,2017,2017,10
65,Andy Dalton-6187,6187,Andy Dalton,CAR,172,2011,2011,35
67,Deshaun Watson-11767,11767,Deshaun Watson,CLE,75,2017,2017,12
79,Tim Boyle-21956,21956,Tim Boyle,MIA,6,2018,2018,
85,Aidan O'Connell-60516,60516,Aidan O'Connell,OAK,12,2023,2023,135
104,Justin Fields-82118,82118,Justin Fields,PIT,44,2021,2021,11
111,Will Levis-83542,83542,Will Levis,TEN,14,2023,2023,33
133,Jacoby Brissett-10725,10725,Jacoby Brissett,NE,53,2016,2016,91
137,Tyler Huntley-46448,46448,Tyler Huntley,MIA,12,2020,2020,
191,Malik Willis-60341,60341,Malik Willis,GB,5,2022,2022,86
204,Skylar Thompson-60417,60417,Skylar Thompson,MIA,3,2022,2022,247
300,Jeff Driskel-10841,10841,Jeff Driskel,CLE,10,2016,2016,207
303,Jarrett Stidham-13725,13725,Jarrett Stidham,DEN,4,2019,2019,133
304,Sam Howell-97599,97599,Sam Howell,WAS,18,2022,2022,144
311,Desmond Ridder-55086,55086,Desmond Ridder,ATL,17,2022,2022,74
314,Ryan Tannehill-7014,7014,Ryan Tannehill,TEN,156,2012,2012,8
316,Blaine Gabbert-6162,6162,Blaine Gabbert,KC,50,2011,2011,10
317,Trevor Siemian-9683,9683,Trevor Siemian,NYJ,33,2015,2015,250
322,Tyrod Taylor-6332,6332,Tyrod Taylor,NYG,60,2011,2011,180
324,Bailey Zappe-60396,60396,Bailey Zappe,NE,8,2022,2022,137
325,Nick Mullens-12282,12282,Nick Mullens,MIN,20,2017,2017,
326,Carson Wentz-10636,10636,Carson Wentz,LAR,94,2016,2016,2
337,Jaren Hall-82094,82094,Jaren Hall,MIN,2,2023,2023,164
339,Taylor Heinicke-9896,9896,Taylor Heinicke,ATL,30,2015,2015,
341,C.J. Beathard-11859,11859,C.J. Beathard,JAX,13,2017,2017,104
376,Case Keenum-7323,7323,Case Keenum,HOU,68,2012,2012,
396,Drew Lock-39517,39517,Drew Lock,SEA,23,2019,2019,42
416,Zach Wilson-82096,82096,Zach Wilson,NYJ,33,2021,2021,2
422,Mitchell Trubisky-11757,11757,Mitchell Trubisky,PIT,59,2017,2017,2
454,Joshua Dobbs-11890,11890,Joshua Dobbs,MIN,14,2017,2017,135
461,Kenny Pickett-60515,60515,Kenny Pickett,PIT,24,2022,2022,20
486,Dorian Thompson-Robinson-83574,83574,Dorian Thompson-Robinson,CLE,3,2023,2023,140
502,Mac Jones-60323,60323,Mac Jones,NE,43,2021,2021,15
570,Tyson Bagent-169628,169628,Tyson Bagent,CHI,4,2023,2023,
575,Brett Rypien-46487,46487,Brett Rypien,LAR,4,2019,2019,
583,Clayton Tune-77652,77652,Clayton Tune,ARI,1,2023,2023,139
600,Jimmy Garoppolo-8697,8697,Jimmy Garoppolo,OAK,70,2014,2014,62
649,Brian Hoyer-5277,5277,Brian Hoyer,OAK,42,2009,2009,
858,Tom Brady-698,698,Tom Brady,TB,378,2000,2000,199
871,Sam Ehlinger-60555,60555,Sam Ehlinger,IND,3,2021,2021,218
