spread_line,result,normalized_modeled_prob
-19,-75,0.00%
-19,-74,0.00%
-19,-73,0.00%
-19,-72,0.00%
-19,-71,0.00%
-19,-70,0.00%
-19,-69,0.00%
-19,-68,0.00%
-19,-67,0.00%
-19,-66,0.00%
-19,-65,0.00%
-19,-64,0.00%
-19,-63,0.00%
-19,-62,0.00%
-19,-61,0.01%
-19,-60,0.01%
-19,-59,0.01%
-19,-58,0.01%
-19,-57,0.01%
-19,-56,0.02%
-19,-55,0.02%
-19,-54,0.02%
-19,-53,0.03%
-19,-52,0.03%
-19,-51,0.04%
-19,-50,0.05%
-19,-49,0.06%
-19,-48,0.07%
-19,-47,0.08%
-19,-46,0.09%
-19,-45,0.13%
-19,-44,0.52%
-19,-43,1.14%
-19,-42,1.00%
-19,-41,1.31%
-19,-40,0.68%
-19,-39,0.79%
-19,-38,1.58%
-19,-37,0.81%
-19,-36,0.37%
-19,-35,1.04%
-19,-34,2.12%
-19,-33,1.16%
-19,-32,1.36%
-19,-31,2.66%
-19,-30,1.44%
-19,-29,1.71%
-19,-28,3.38%
-19,-27,1.70%
-19,-26,0.75%
-19,-25,2.32%
-19,-24,4.88%
-19,-23,2.52%
-19,-22,3.33%
-19,-21,7.01%
-19,-20,3.23%
-19,-19,0.95%
-19,-18,3.05%
-19,-17,6.63%
-19,-16,3.15%
-19,-15,2.39%
-19,-14,4.61%
-19,-13,2.19%
-19,-12,0.70%
-19,-11,1.61%
-19,-10,3.20%
-19,-9,1.62%
-19,-8,1.36%
-19,-7,2.52%
-19,-6,1.24%
-19,-5,0.45%
-19,-4,0.96%
-19,-3,1.86%
-19,-2,0.91%
-19,-1,0.29%
-19,0,0.08%
-19,1,0.24%
-19,2,0.62%
-19,3,1.23%
-19,4,0.58%
-19,5,0.18%
-19,6,0.45%
-19,7,0.93%
-19,8,0.44%
-19,9,0.38%
-19,10,0.76%
-19,11,0.34%
-19,12,0.08%
-19,13,0.27%
-19,14,0.59%
-19,15,0.27%
-19,16,0.23%
-19,17,0.49%
-19,18,0.21%
-19,19,0.04%
-19,20,0.17%
-19,21,0.40%
-19,22,0.17%
-19,23,0.15%
-19,24,0.34%
-19,25,0.14%
-19,26,0.02%
-19,27,0.12%
-19,28,0.28%
-19,29,0.12%
-19,30,0.11%
-19,31,0.24%
-19,32,0.10%
-19,33,0.01%
-19,34,0.00%
-19,35,0.00%
-19,36,0.00%
-19,37,0.00%
-19,38,0.00%
-19,39,0.00%
-19,40,0.00%
-19,41,0.00%
-19,42,0.00%
-19,43,0.00%
-19,44,0.00%
-19,45,0.00%
-19,46,0.00%
-19,47,0.00%
-19,48,0.00%
-19,49,0.00%
-19,50,0.00%
-19,51,0.00%
-19,52,0.00%
-19,53,0.00%
-19,54,0.00%
-19,55,0.00%
-19,56,0.00%
-19,57,0.00%
-19,58,0.00%
-19,59,0.00%
-19,60,0.00%
-19,61,0.00%
-19,62,0.00%
-19,63,0.00%
-19,64,0.00%
-19,65,0.00%
-19,66,0.00%
-19,67,0.00%
-19,68,0.00%
-19,69,0.00%
-19,70,0.00%
-19,71,0.00%
-19,72,0.00%
-19,73,0.00%
-19,74,0.00%
-18,-75,0.00%
-18,-74,0.00%
-18,-73,0.00%
-18,-72,0.00%
-18,-71,0.00%
-18,-70,0.00%
-18,-69,0.00%
-18,-68,0.00%
-18,-67,0.00%
-18,-66,0.00%
-18,-65,0.00%
-18,-64,0.00%
-18,-63,0.00%
-18,-62,0.00%
-18,-61,0.00%
-18,-60,0.01%
-18,-59,0.01%
-18,-58,0.01%
-18,-57,0.01%
-18,-56,0.01%
-18,-55,0.02%
-18,-54,0.02%
-18,-53,0.02%
-18,-52,0.03%
-18,-51,0.04%
-18,-50,0.04%
-18,-49,0.05%
-18,-48,0.06%
-18,-47,0.07%
-18,-46,0.08%
-18,-45,0.12%
-18,-44,0.50%
-18,-43,1.12%
-18,-42,0.98%
-18,-41,1.28%
-18,-40,0.66%
-18,-39,0.77%
-18,-38,1.54%
-18,-37,0.79%
-18,-36,0.36%
-18,-35,1.01%
-18,-34,2.06%
-18,-33,1.12%
-18,-32,1.32%
-18,-31,2.58%
-18,-30,1.40%
-18,-29,1.66%
-18,-28,3.26%
-18,-27,1.65%
-18,-26,0.74%
-18,-25,2.22%
-18,-24,4.62%
-18,-23,2.41%
-18,-22,3.09%
-18,-21,6.40%
-18,-20,3.00%
-18,-19,1.03%
-18,-18,3.61%
-18,-17,7.38%
-18,-16,3.45%
-18,-15,2.48%
-18,-14,4.82%
-18,-13,2.27%
-18,-12,0.70%
-18,-11,1.63%
-18,-10,3.27%
-18,-9,1.65%
-18,-8,1.38%
-18,-7,2.55%
-18,-6,1.25%
-18,-5,0.46%
-18,-4,0.97%
-18,-3,1.88%
-18,-2,0.92%
-18,-1,0.30%
-18,0,0.07%
-18,1,0.25%
-18,2,0.63%
-18,3,1.24%
-18,4,0.59%
-18,5,0.19%
-18,6,0.46%
-18,7,0.93%
-18,8,0.45%
-18,9,0.39%
-18,10,0.76%
-18,11,0.34%
-18,12,0.08%
-18,13,0.27%
-18,14,0.59%
-18,15,0.27%
-18,16,0.23%
-18,17,0.49%
-18,18,0.21%
-18,19,0.04%
-18,20,0.17%
-18,21,0.39%
-18,22,0.17%
-18,23,0.15%
-18,24,0.34%
-18,25,0.14%
-18,26,0.02%
-18,27,0.11%
-18,28,0.28%
-18,29,0.12%
-18,30,0.11%
-18,31,0.24%
-18,32,0.10%
-18,33,0.01%
-18,34,0.00%
-18,35,0.00%
-18,36,0.00%
-18,37,0.00%
-18,38,0.00%
-18,39,0.00%
-18,40,0.00%
-18,41,0.00%
-18,42,0.00%
-18,43,0.00%
-18,44,0.00%
-18,45,0.00%
-18,46,0.00%
-18,47,0.00%
-18,48,0.00%
-18,49,0.00%
-18,50,0.00%
-18,51,0.00%
-18,52,0.00%
-18,53,0.00%
-18,54,0.00%
-18,55,0.00%
-18,56,0.00%
-18,57,0.00%
-18,58,0.00%
-18,59,0.00%
-18,60,0.00%
-18,61,0.00%
-18,62,0.00%
-18,63,0.00%
-18,64,0.00%
-18,65,0.00%
-18,66,0.00%
-18,67,0.00%
-18,68,0.00%
-18,69,0.00%
-18,70,0.00%
-18,71,0.00%
-18,72,0.00%
-18,73,0.00%
-18,74,0.00%
-16,-75,0.00%
-16,-74,0.00%
-16,-73,0.00%
-16,-72,0.00%
-16,-71,0.00%
-16,-70,0.00%
-16,-69,0.00%
-16,-68,0.00%
-16,-67,0.00%
-16,-66,0.00%
-16,-65,0.00%
-16,-64,0.00%
-16,-63,0.00%
-16,-62,0.00%
-16,-61,0.00%
-16,-60,0.00%
-16,-59,0.00%
-16,-58,0.01%
-16,-57,0.01%
-16,-56,0.01%
-16,-55,0.01%
-16,-54,0.01%
-16,-53,0.02%
-16,-52,0.02%
-16,-51,0.02%
-16,-50,0.03%
-16,-49,0.03%
-16,-48,0.04%
-16,-47,0.05%
-16,-46,0.05%
-16,-45,0.08%
-16,-44,0.39%
-16,-43,0.88%
-16,-42,0.77%
-16,-41,1.01%
-16,-40,0.51%
-16,-39,0.60%
-16,-38,1.21%
-16,-37,0.61%
-16,-36,0.27%
-16,-35,0.78%
-16,-34,1.61%
-16,-33,0.87%
-16,-32,1.02%
-16,-31,2.01%
-16,-30,1.09%
-16,-29,1.28%
-16,-28,2.51%
-16,-27,1.29%
-16,-26,0.59%
-16,-25,1.69%
-16,-24,3.48%
-16,-23,1.85%
-16,-22,2.27%
-16,-21,4.61%
-16,-20,2.22%
-16,-19,0.89%
-16,-18,3.55%
-16,-17,7.86%
-16,-16,3.75%
-16,-15,3.31%
-16,-14,6.74%
-16,-13,3.09%
-16,-12,0.85%
-16,-11,2.07%
-16,-10,4.24%
-16,-9,2.11%
