Player,PFF Ref,Pos,Team
Tom BRADY,698,QB,0
Teddy BRIDGEWATER,8667,QB,0
Matt RYAN,4317,QB,0
Carson WENTZ,10636,QB,0
Cam NEWTON,6153,QB,0
Sean MANNION,9522,QB,0
Chad HENNE,4371,QB,0
Joe FLACCO,4332,QB,0
Garrett GILBERT,8848,QB,0
Nick FOLES,7089,QB,0
Kyle Sloter,0,QB,0
Davis Cheek,0,QB,0
Felix Harper,0,QB,0
Dustin Crum,60418,QB,0
D'Eriq King,26636,QB,0
James MORGAN,0,QB,0
Jacob EASON,46444,QB,0
Davis WEBB,11842,QB,0
Bryce PERKINS,35299,QB,0
Kevin HOGAN,10796,QB,0
Brett Hundley,0,QB,0
Cole McDONALD,0,QB,0
Nate STANLEY,0,QB,0
Chase DANIEL,5214,QB,0
Tre Ford,0,QB,0
K.J. Costello,0,QB,0
Kaleb Eleby,0,QB,0
Aqeel Glass,0,QB,0
Kurt BENKERT,0,QB,0
Case COOKUS,0,QB,0
Kevin DAVIDSON,0,QB,0
Mason FINE,0,QB,0
Anthony GORDON,0,QB,0
Ryan GRIFFIN,0,QB,0
Tyler HUNTER,0,QB,0
Brian LEWERKE,0,QB,0
Kai Locksley,0,QB,0
Josh LOVE,0,QB,0
Steven MONTEZ,0,QB,0
Jalen MORTON,0,QB,0
Riley NEAL,0,QB,0
Shea PATTERSON,0,QB,0
Broc RUTTER,0,QB,0
Reid SINNETT,0,QB,0
J'Mar SMITH,0,QB,0
Khalil TATE,0,QB,0
Nick TIANO,0,QB,0
Kenji BAHAR,0,QB,0
Luis Perez,0,QB,0
Cole Kelley,0,QB,0
EJ Perry,0,QB,0
Drew Pitt,0,QB,0
Jack Coan,60613,QB,0
Levi Lewis,60428,QB,0
Brandon Peters,40416,QB,0
Carson Strong,83524,QB,0
Josh ROSEN,35460,QB,0
Jake LUTON,17287,QB,0
Mike GLENNON,7854,QB,0
Kyler MURRAY,38334,QB,ARI
Jeff DRISKEL,10841,QB,ARI
Colt McCOY,5609,QB,ARI
David BLOUGH,46508,QB,ARI
Clayton Tune,77652,QB,ARI
Desmond Ridder,55086,QB,ATL
Taylor Heinicke,9896,QB,ATL
Logan WOODSIDE,46517,QB,ATL
Feleipe Franks,40217,QB,ATL
Lamar JACKSON,46416,QB,BAL
Tyler HUNTLEY,46448,QB,BAL
Josh JOHNSON,4474,QB,BAL
Anthony Brown,40316,QB,BAL
Josh ALLEN,46601,QB,BUF
Matt BARKLEY,7880,QB,BUF
Kyle ALLEN,26152,QB,BUF
Andy DALTON,6187,QB,CAR
Bryce Young,123943,QB,CAR
Matt Corral,83517,QB,CAR
Justin Fields,82118,QB,CHI
PJ Walker,12134,QB,CHI
Nathan PETERMAN,11926,QB,CHI
Joe BURROW,28022,QB,CIN
Trevor SIEMIAN,9683,QB,CIN
Jake BROWNING,0,QB,CIN
DeShaun WATSON,11767,QB,CLE
Joshua DOBBS,11890,QB,CLE
Kellen Mond,0,QB,CLE
Dorian Thompson-Robinson,83574,QB,CLE
Dak PRESCOTT,10769,QB,DAL
Cooper RUSH,12324,QB,DAL
Will GRIER,38265,QB,DAL
Russell WILSON,7077,QB,DEN
Jarrett Stidham,13725,QB,DEN
Jarrett Guarantano,0,QB,DEN
Ben DINUCCI,34311,QB,DEN
Jared GOFF,10635,QB,DET
Hendon Hooker,60593,QB,DET
Nate SUDFELD,10821,QB,DET
Jordan LOVE,40306,QB,GB
Sean Clifford,51708,QB,GB
C.J. Stroud,129759,QB,HOU
Davis Mills,52269,QB,HOU
Case KEENUM,7323,QB,HOU
Anthony Richardson,124393,QB,IND
Gardner MINSHEW,0,QB,IND
Sam Ehlinger,60555,QB,IND
Trevor Lawrence,77632,QB,JAC
C.J. BEATHARD,11859,QB,JAC
Patrick MAHOMES,11765,QB,KC
Blaine GABBERT,6162,QB,KC
Shane Buechele,0,QB,KC
Chris Oladokun,0,QB,KC
Justin HERBERT,28237,QB,LAC
Easton STICK,0,QB,LAC
Max Duggan,99470,QB,LAC
Matthew STAFFORD,4924,QB,LAR
Stetson Bennett,60387,QB,LAR
Brett RYPIEN,46487,QB,LAR
Jimmy GAROPPOLO,8697,QB,LV
Brian HOYER,5277,QB,LV
Aidan O'Connell,60516,QB,LV
Chase Garbers,60356,QB,LV
Tua TAGOVAILOA,60326,QB,MIA
Mike WHITE,46453,QB,MIA
Skylar Thompson,60417,QB,MIA
Kirk COUSINS,7102,QB,MIN
Nick MULLENS,12282,QB,MIN
Jaren Hall,82094,QB,MIN
Mac Jones,60323,QB,NE
Bailey Zappe,60396,QB,NE
Trace McSORLEY,32819,QB,NE
Derek CARR,8671,QB,NO
Jameis WINSTON,9434,QB,NO
Jake Haener,60596,QB,NO
Daniel JONES,39395,QB,NYG
Tyrod TAYLOR,6332,QB,NYG
Aaron RODGERS,2241,QB,NYJ
Tim BOYLE,21956,QB,NYJ
Zach Wilson,82096,QB,NYJ
Chris STREVELER,46440,QB,NYJ
Jalen HURTS,40291,QB,PHI
Marcus MARIOTA,9435,QB,PHI
Ian Book,40216,QB,PHI
Tanner McKee,131770,QB,PHI
Tyree Jackson,46481,QB,PHI
Kenny Pickett,60515,QB,PIT
Mitchell TRUBISKY,11757,QB,PIT
Mason RUDOLPH,46569,QB,PIT
Geno SMITH,7820,QB,SEA
Drew LOCK,39517,QB,SEA
Brock Purdy,77672,QB,SF
Trey Lance,91399,QB,SF
Sam DARNOLD,29048,QB,SF
Brandon ALLEN,10835,QB,SF
Baker MAYFIELD,46518,QB,TB
Kyle Trask,39987,QB,TB
John WOLFORD,46454,QB,TB
Ryan TANNEHILL,7014,QB,TEN
Will Levis,83542,QB,TEN
Malik Willis,60341,QB,TEN
Jacoby BRISSETT,10725,QB,WAS
Sam Howell,97599,QB,WAS
Armani Rogers,40034,QB,WAS
Jake FROMM,60389,QB,WAS
Tyson BAGENT,169628,QB,CHI
Clayton TUNE,77652,QB,ARI
Tommy DEVITO,60545,QB,NYG
Caleb Williams,144622,QB,CHI
Bo Nix,97790,QB,DEN
Jayden Daniels,97993,QB,WAS
Spencer Rattler,97408,QB,NO
Drake Maye,143969,QB,NE
Michael Penix,82134,QB,ATL
Cam Ward,133244,QB,TEN
