Point Spread,Favorite Win Chance,Underdog Win Chance
0,50.00%,50.00%
0.5,50.00%,50.00%
1,51.30%,48.80%
1.5,52.50%,47.50%
2,53.50%,46.50%
2.5,54.50%,45.50%
3,59.40%,40.60%
3.5,64.30%,35.70%
4,65.80%,34.20%
4.5,67.30%,32.70%
5,68.10%,31.90%
5.5,69.00%,31.10%
6,70.70%,29.40%
6.5,72.40%,27.70%
7,75.20%,24.80%
7.5,78.10%,21.90%
8,79.10%,20.90%
8.5,80.20%,19.80%
9,80.70%,19.30%
9.5,81.10%,18.90%
10,83.60%,16.40%
10.5,86.00%,14.00%
11,87.10%,12.90%
11.5,88.20%,11.80%
12,88.50%,11.60%
12.5,88.70%,11.30%
13,89.30%,10.70%
13.5,90.00%,10.00%
14,92.40%,7.60%
14.5,94.90%,5.10%
15,95.60%,4.40%
15.5,96.30%,3.70%
16,98.10%,1.90%
16.5,99.80%,0.20%
17,100.00%,0.00%
17.5,100.00%,0.00%
18,100.00%,0.00%
18.5,100.00%,0.00%
19,100.00%,0.00%
19.5,100.00%,0.00%
20,100.00%,0.00%
100,100.00%,0.00%
